TEAM_ID,SEASON,W,W_PCT
1610612761,2001-02,42.0,0.512
1610612762,2001-02,44.0,0.537
1610612764,2001-02,37.0,0.451
1610612737,2002-03,35.0,0.427
1610612738,2002-03,44.0,0.537
1610612741,2002-03,30.0,0.366
1610612739,2002-03,17.0,0.207
1610612742,2002-03,60.0,0.732
1610612743,2002-03,17.0,0.207
1610612765,2002-03,50.0,0.61
1610612744,2002-03,38.0,0.463
1610612745,2002-03,43.0,0.524
1610612754,2002-03,48.0,0.585
1610612746,2002-03,27.0,0.329
1610612747,2002-03,50.0,0.61
1610612763,2002-03,28.0,0.341
1610612748,2002-03,25.0,0.305
1610612749,2002-03,42.0,0.512
1610612750,2002-03,51.0,0.622
1610612751,2002-03,49.0,0.598
1610612740,2002-03,47.0,0.573
1610612752,2002-03,37.0,0.451
1610612753,2002-03,42.0,0.512
1610612755,2002-03,48.0,0.585
1610612756,2002-03,44.0,0.537
1610612757,2002-03,50.0,0.61
1610612758,2002-03,59.0,0.72
1610612759,2002-03,60.0,0.732
1610612760,2002-03,40.0,0.488
1610612761,2002-03,24.0,0.293
1610612762,2002-03,47.0,0.573
1610612764,2002-03,37.0,0.451
1610612737,2003-04,28.0,0.341
1610612738,2003-04,36.0,0.439
1610612741,2003-04,23.0,0.28
1610612739,2003-04,35.0,0.427
1610612742,2003-04,52.0,0.634
1610612743,2003-04,43.0,0.524
1610612765,2003-04,54.0,0.659
1610612744,2003-04,37.0,0.451
1610612745,2003-04,45.0,0.549
1610612754,2003-04,61.0,0.744
1610612746,2003-04,28.0,0.341
1610612747,2003-04,56.0,0.683
1610612763,2003-04,50.0,0.61
1610612748,2003-04,42.0,0.512
1610612749,2003-04,41.0,0.5
1610612750,2003-04,58.0,0.707
1610612751,2003-04,47.0,0.573
1610612740,2003-04,41.0,0.5
1610612752,2003-04,39.0,0.476
1610612753,2003-04,21.0,0.256
1610612755,2003-04,33.0,0.402
1610612756,2003-04,29.0,0.354
1610612757,2003-04,41.0,0.5
1610612758,2003-04,55.0,0.671
1610612759,2003-04,57.0,0.695
1610612760,2003-04,37.0,0.451
1610612761,2003-04,33.0,0.402
1610612762,2003-04,42.0,0.512
1610612764,2003-04,25.0,0.305
1610612737,2004-05,13.0,0.159
1610612738,2004-05,45.0,0.549
1610612766,2004-05,18.0,0.22
1610612741,2004-05,47.0,0.573
1610612739,2004-05,42.0,0.512
1610612742,2004-05,58.0,0.707
1610612743,2004-05,49.0,0.598
1610612765,2004-05,54.0,0.659
1610612744,2004-05,34.0,0.415
1610612745,2004-05,51.0,0.622
1610612754,2004-05,44.0,0.537
1610612746,2004-05,37.0,0.451
1610612747,2004-05,34.0,0.415
1610612763,2004-05,45.0,0.549
1610612748,2004-05,59.0,0.72
1610612749,2004-05,30.0,0.366
1610612750,2004-05,44.0,0.537
1610612751,2004-05,42.0,0.512
1610612740,2004-05,18.0,0.22
1610612752,2004-05,33.0,0.402
1610612753,2004-05,36.0,0.439
1610612755,2004-05,43.0,0.524
1610612756,2004-05,62.0,0.756
1610612757,2004-05,27.0,0.329
1610612758,2004-05,50.0,0.61
1610612759,2004-05,59.0,0.72
1610612760,2004-05,52.0,0.634
1610612761,2004-05,33.0,0.402
1610612762,2004-05,26.0,0.317
1610612764,2004-05,45.0,0.549
1610612737,2005-06,26.0,0.317
1610612738,2005-06,33.0,0.402
1610612766,2005-06,26.0,0.317
1610612741,2005-06,41.0,0.5
1610612739,2005-06,50.0,0.61
1610612742,2005-06,60.0,0.732
1610612743,2005-06,44.0,0.537
1610612765,2005-06,64.0,0.78
1610612744,2005-06,34.0,0.415
1610612745,2005-06,34.0,0.415
1610612754,2005-06,41.0,0.5
1610612746,2005-06,47.0,0.573
1610612747,2005-06,45.0,0.549
1610612763,2005-06,49.0,0.598
1610612748,2005-06,52.0,0.634
1610612749,2005-06,40.0,0.488
1610612750,2005-06,33.0,0.402
1610612751,2005-06,49.0,0.598
